"fecha";"Run Fondo";"nombre_fondo";"nemo_instr";"nombre_emisor";"cod_pais_emi";"tipo_instr";"fecha_venc";"sit_instr";"clas_ries";"nombre_gr_emp";"cant_un";"tipo_un";"tir";"valor_par";"valor_rel";"cod_valor";"base_tasa";"tipo_int";"valor_cierre";"cod_mon_liq";"cod_pais_tra";"porc_cap_emi";"porc_tot_act";"porc_act_fon"
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;22000000;PROM;4.16;;;1;360;NC;21928;PROM;US;0.0;0.0;1.632
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;15000000;PROM;4.15;;;1;360;NC;14951;PROM;US;0.0;0.0;1.113
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;24500000;PROM;4.18;;;1;360;NC;24419;PROM;US;0.0;0.0;1.817
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;15000000;PROM;4.53;;;1;360;NC;14947;PROM;US;0.0;0.0;1.112
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;5000000;PROM;4.5;;;1;360;NC;4982;PROM;US;0.0;0.0;0.371
2023-01-01;"8230";MARKET DOLAR;US912796YB94;Departamento del Tesoro de los;US   ;BEBCE;2023-03-02;1;AAA;NA;49500000;PROM;4.14;;;1;360;NC;49338;PROM;US;0.0;0.0;3.672
2023-01-01;"8257";DOLAR CASH;BCP0423;BANCO CREDITO DEL PERU;PE   ;BBFE;2023-04-01;1;BBB;NA;2000000;PROM;4.92;;;1;360;NC;2026;PROM;US;0.0;0.0;0.27
2023-01-01;"8257";DOLAR CASH;CALLAO0423;GAS NATURAL DE LIMA Y CALLAO S;PE   ;BEE;2023-04-01;1;BBB;NA;8800000;PROM;5.92;;;1;360;NC;8907;PROM;US;0.0;0.0;1.187
2023-01-01;"8257";DOLAR CASH;CALLAO0423;GAS NATURAL DE LIMA Y CALLAO S;PE   ;BEE;2023-04-01;1;BBB;NA;1000000;PROM;5.93;;;1;360;NC;1012;PROM;US;0.0;0.0;0.135
2023-01-01;"8945";FM CC MONEY M;CORJRL4 5/8 04/;CORPORACION LINDLEY CORPORACIO;US   ;BEE;2023-04-12;1;E;NA;1000000;PROM;0.27;;;1;360;NC;260;PROM;US;0.0;0.0;0.267
2023-01-01;"8945";FM CC MONEY M;BCP040123;BANCO DE CREDITO DEL PERU;PE   ;BBFE;2023-04-01;1;E;NA;2000000;PROM;4.64;;;1;360;NC;2027;PROM;US;0.0;0.0;2.078
