"fecha";"Run Fondo";"nombre_fondo";"nemo_instr";"rut_emisor";"dig_ver_emi";"cod_pais_emi";"tipo_instr";"fecha_venc";"sit_instr";"clas_ries";"cod_gr_emp";"cant_un";"tipo_un";"tir";"valor_par";"valor_rel";"cod_valor";"base_tasa";"tipo_int";"valor_cierre";"cod_mon_liq";"cod_pais_tra";"porc_cap_emi";"porc_tot_act";"porc_act_fon"
2023-01-01;"8230";MARKET DOLAR;F*BNS-230323;"97018000";"1";CL   ;DPC;2023-03-23;1;N-1;32;1730647222;PROM;5.5;;;1;360;NL;17175;PROM;CL;0.0;0.0;1.278
2023-01-01;"8230";MARKET DOLAR;F*HSB-150323;"97951000";"4";CL   ;DPC;2023-03-15;1;N-1;0;20000000;PROM;5.1;;;1;360;NL;19882;PROM;CL;0.0;0.001;1.48
2023-01-01;"8230";MARKET DOLAR;F*INT-230623;"97011000";"3";CL   ;DPC;2023-06-23;1;N-1;136;2052333333;PROM;6.0;;;1;360;NL;20049;PROM;CL;0.0;0.0;1.492
2023-01-01;"8230";MARKET DOLAR;F*SEC-060323;"97053000";"2";CL   ;DPC;2023-03-06;1;N-1;35;1634533333;PROM;4.2;;;1;360;NL;16283;PROM;CL;0.0;0.0;1.212
2023-01-01;"8230";MARKET DOLAR;F*SEC-010323;"97053000";"2";CL   ;DPC;2023-03-01;1;N-1;35;16336000;PROM;4.2;;;1;360;NL;16283;PROM;CL;0.0;0.0;1.212
2023-01-01;"8230";MARKET DOLAR;F*SEC-070223;"97053000";"2";CL   ;DPC;2023-02-07;1;N-1;35;15210000;PROM;4.0;;;1;360;NL;15200;PROM;CL;0.0;0.0;1.131
2023-01-01;"8230";MARKET DOLAR;F*SEC-060223;"97053000";"2";CL   ;DPC;2023-02-06;1;N-1;35;1520833333;PROM;4.0;;;1;360;NL;15200;PROM;CL;0.0;0.0;1.131
2023-01-01;"8230";MARKET DOLAR;F*SEC-270323;"97053000";"2";CL   ;DPC;2023-03-27;1;N-1;35;20400000;PROM;4.8;;;1;360;NL;20254;PROM;CL;0.0;0.0;1.507
2023-01-01;"8230";MARKET DOLAR;F*SEC-090323;"97053000";"2";CL   ;DPC;2023-03-09;1;N-1;35;30498750;PROM;4.75;;;1;360;NL;30355;PROM;CL;0.0;0.0;2.259
2023-01-01;"8230";MARKET DOLAR;F*SEC-200423;"97053000";"2";CL   ;DPC;2023-04-20;1;N-1;35;24555000;PROM;5.55;;;1;360;NL;24263;PROM;CL;0.0;0.0;1.806
2023-01-01;"8230";MARKET DOLAR;F*SEC-250423;"97053000";"2";CL   ;DPC;2023-04-25;1;N-1;35;20381000;PROM;5.4;;;1;360;NL;20130;PROM;CL;0.0;0.0;1.498
2023-01-01;"8230";MARKET DOLAR;F*EST-140223;"97030000";"7";CL   ;DPC;2023-02-14;1;N-1;21;30397500;PROM;5.3;;;1;360;NL;30339;PROM;CL;0.0;0.0;2.258
2023-01-01;"8230";MARKET DOLAR;F*BIC-230223;"97080000";K;CL   ;DPC;2023-02-23;1;N-1;2;759196875;PROM;4.9;;;1;360;NL;7569;PROM;CL;0.0;0.0;0.563
2023-01-01;"8230";MARKET DOLAR;F*EST-280323;"97030000";"7";CL   ;DPC;2023-03-28;1;N-1;21;274843125;PROM;5.25;;;1;360;NL;27266;PROM;CL;0.0;0.0;2.029
2023-01-01;"8230";MARKET DOLAR;F*EST-290323;"97030000";"7";CL   ;DPC;2023-03-29;1;N-1;21;4000000;PROM;5.3;;;1;360;NL;3967;PROM;CL;0.0;0.0;0.295
2023-01-01;"8230";MARKET DOLAR;F*EST-290323;"97030000";"7";CL   ;DPC;2023-03-29;1;N-1;21;8500000;PROM;5.3;;;1;360;NL;8430;PROM;CL;0.0;0.0;0.627
2023-01-01;"8230";MARKET DOLAR;F*EST-300323;"97030000";"7";CL   ;DPC;2023-03-30;1;N-1;21;10000000;PROM;5.5;;;1;360;NL;9914;PROM;CL;0.0;0.0;0.738
2023-01-01;"8230";MARKET DOLAR;F*EST-060323;"97030000";"7";CL   ;DPC;2023-03-06;1;N-1;21;1800000;PROM;5.4;;;1;360;NL;1791;PROM;CL;0.0;0.0;0.133
2023-01-01;"8230";MARKET DOLAR;F*EST-030423;"97030000";"7";CL   ;DPC;2023-04-03;1;N-1;21;10500000;PROM;5.5;;;1;360;NL;10403;PROM;CL;0.0;0.0;0.774
2023-01-01;"8230";MARKET DOLAR;F*SEC-040523;"97053000";"2";CL   ;DPC;2023-05-04;1;N-1;35;15275000;PROM;5.5;;;1;360;NL;15063;PROM;CL;0.0;0.0;1.121
2023-01-01;"8230";MARKET DOLAR;F*EST-050423;"97030000";"7";CL   ;DPC;2023-04-05;1;N-1;21;23304750;PROM;5.3;;;1;360;NL;23091;PROM;CL;0.0;0.0;1.718
2023-01-01;"8230";MARKET DOLAR;F*EST-200223;"97030000";"7";CL   ;DPC;2023-02-20;1;N-1;21;1600000;PROM;4.9;;;1;360;NL;1596;PROM;CL;0.0;0.0;0.119
2023-01-01;"8230";MARKET DOLAR;F*BIC-190423;"97080000";K;CL   ;DPC;2023-04-19;1;N-1;2;759946875;PROM;5.3;;;1;360;NL;7514;PROM;CL;0.0;0.0;0.559
2023-01-01;"8230";MARKET DOLAR;F*EST-210323;"97030000";"7";CL   ;DPC;2023-03-21;1;N-1;21;1000000;PROM;5.2;;;1;360;NL;993;PROM;CL;0.0;0.0;0.074
2023-01-01;"8230";MARKET DOLAR;F*EST-210323;"97030000";"7";CL   ;DPC;2023-03-21;1;N-1;21;2000000;PROM;5.2;;;1;360;NL;1986;PROM;CL;0.0;0.0;0.148
2023-01-01;"8230";MARKET DOLAR;F*BIC-200423;"97080000";K;CL   ;DPC;2023-04-20;1;N-1;2;759946875;PROM;5.3;;;1;360;NL;7513;PROM;CL;0.0;0.0;0.559
2023-01-01;"8230";MARKET DOLAR;F*STD-070223;"97036000";K;CL   ;DPC;2023-02-07;1;N-1;14;39000000;PROM;4.45;;;1;360;NL;38971;PROM;CL;0.0;0.0;2.9
2023-01-01;"8230";MARKET DOLAR;F*CNO-080223;"99500410";"0";CL   ;DPC;2023-02-08;1;N-1;16;1014294444;PROM;4.15;;;1;360;NL;10135;PROM;CL;0.0;0.0;0.754
2023-01-01;"8230";MARKET DOLAR;F*CNO-100223;"99500410";"0";CL   ;DPC;2023-02-10;1;N-1;16;1217486667;PROM;4.3;;;1;360;NL;12162;PROM;CL;0.0;0.0;0.905
2023-01-01;"8230";MARKET DOLAR;F*BNS-080223;"97018000";"1";CL   ;DPC;2023-02-08;1;N-1;32;19903000;PROM;4.65;;;1;360;NL;19885;PROM;CL;0.0;0.0;1.48
2023-01-01;"8230";MARKET DOLAR;F*BNS-220223;"97018000";"1";CL   ;DPC;2023-02-22;1;N-1;32;3042083333;PROM;5.05;;;1;360;NL;30331;PROM;CL;0.0;0.0;2.257
2023-01-01;"8230";MARKET DOLAR;F*CNO-240223;"99500410";"0";CL   ;DPC;2023-02-24;1;N-1;16;2029672222;PROM;5.45;;;1;360;NL;20226;PROM;CL;0.0;0.0;1.505
2023-01-01;"8230";MARKET DOLAR;F*CNO-220223;"99500410";"0";CL   ;DPC;2023-02-22;1;N-1;16;2029066667;PROM;5.45;;;1;360;NL;20226;PROM;CL;0.0;0.0;1.505
2023-01-01;"8230";MARKET DOLAR;F*BCI-290323;"97006000";"6";CL   ;DPC;2023-03-29;1;N-1;13;30000000;PROM;5.2;;;1;360;NL;29759;PROM;CL;0.0;0.0;2.215
2023-01-01;"8230";MARKET DOLAR;F*CNO-110423;"99500410";"0";CL   ;DPC;2023-04-11;1;N-1;16;2040333333;PROM;5.5;;;1;360;NL;20190;PROM;CL;0.0;0.0;1.503
2023-01-01;"8230";MARKET DOLAR;F*BCI-030323;"97006000";"6";CL   ;DPC;2023-03-03;1;N-1;13;25000000;PROM;5.05;;;1;360;NL;24895;PROM;CL;0.0;0.0;1.853
2023-01-01;"8230";MARKET DOLAR;F*CNO-130423;"99500410";"0";CL   ;DPC;2023-04-13;1;N-1;16;1020166667;PROM;5.5;;;1;360;NL;10092;PROM;CL;0.0;0.0;0.751
2023-01-01;"8230";MARKET DOLAR;F*CNO-280323;"99500410";"0";CL   ;DPC;2023-03-28;1;N-1;16;25440000;PROM;5.6;;;1;360;NL;25224;PROM;CL;0.0;0.0;1.877
2023-01-01;"8230";MARKET DOLAR;F*BNS-070223;"97018000";"1";CL   ;DPC;2023-02-07;1;N-1;32;15000000;PROM;4.6;;;1;360;NL;14989;PROM;CL;0.0;0.0;1.115
2023-01-01;"8230";MARKET DOLAR;F*CNO-090323;"99500410";"0";CL   ;DPC;2023-03-09;1;N-1;16;8000000;PROM;5.4;;;1;360;NL;7957;PROM;CL;0.0;0.0;0.592
2023-01-01;"8230";MARKET DOLAR;F*BNS-080223;"97018000";"1";CL   ;DPC;2023-02-08;1;N-1;32;6000;PROM;4.95;;;1;360;NL;6;PROM;CL;0.0;0.0;0.0
2023-01-01;"8230";MARKET DOLAR;F*CNO-080223;"99500410";"0";CL   ;DPC;2023-02-08;1;N-1;16;7000000;PROM;5.4;;;1;360;NL;6993;PROM;CL;0.0;0.0;0.52
