"fecha";"Run Fondo";"serie";"periodo";"rent"
2023-01-31;"8257";APV;"1M";-5.63%
2023-01-31;"8257";APV;"3M";-13.16%
2023-01-31;"8257";APV;"6M";-9.59%
2023-01-31;"8257";APV;"1Y";"2.10%"
2023-01-31;"8257";APV;YTD;-5.62%
2023-02-01;"8257";APV;"1M";-7.10%
2023-02-01;"8257";APV;"3M";-14.51%
2023-02-01;"8257";APV;"6M";-9.80%
2023-02-01;"8257";APV;"1Y";"0.82%"
2023-02-01;"8257";APV;YTD;-7.07%
2023-02-02;"8257";APV;"1M";-8.31%
2023-02-02;"8257";APV;"3M";-15.74%
2023-02-02;"8257";APV;"6M";-11.36%
2023-02-02;"8257";APV;"1Y";-1.03%
2023-02-02;"8257";APV;YTD;-8.27%
2023-02-03;"8257";APV;"1M";-7.04%
2023-02-03;"8257";APV;"3M";-15.93%
2023-02-03;"8257";APV;"6M";-11.56%
2023-02-03;"8257";APV;"1Y";-1.46%
2023-02-03;"8257";APV;YTD;-7.39%
2023-02-04;"8257";APV;"1M";-7.36%
2023-02-04;"8257";APV;"3M";-14.44%
2023-02-04;"8257";APV;"6M";-11.17%
2023-02-04;"8257";APV;"1Y";-2.44%
2023-02-04;"8257";APV;YTD;-7.38%
2023-02-05;"8257";APV;"1M";-7.49%
2023-02-05;"8257";APV;"3M";-14.44%
2023-02-05;"8257";APV;"6M";-12.19%
2023-02-05;"8257";APV;"1Y";-2.43%
2023-02-05;"8257";APV;YTD;-7.37%
2023-02-06;"8257";APV;"1M";-4.52%
2023-02-06;"8257";APV;"3M";-12.71%
2023-02-06;"8257";APV;"6M";-10.42%
2023-02-06;"8257";APV;"1Y";-0.45%
2023-02-06;"8257";APV;YTD;-5.49%
2023-02-07;"8257";APV;"1M";-5.15%
2023-02-07;"8257";APV;"3M";-12.08%
2023-02-07;"8257";APV;"6M";-11.00%
2023-02-07;"8257";APV;"1Y";-1.25%
2023-02-07;"8257";APV;YTD;-6.10%
2023-02-08;"8257";APV;"1M";-5.89%
2023-02-08;"8257";APV;"3M";-11.59%
2023-02-08;"8257";APV;"6M";-10.87%
2023-02-08;"8257";APV;"1Y";-1.71%
2023-02-08;"8257";APV;YTD;-6.82%
2023-02-09;"8257";APV;"1M";-4.49%
2023-02-09;"8257";APV;"3M";-10.95%
2023-02-09;"8257";APV;"6M";-9.99%
2023-02-09;"8257";APV;"1Y";-0.89%
2023-02-09;"8257";APV;YTD;-6.45%
2023-02-10;"8257";APV;"1M";-3.55%
2023-02-10;"8257";APV;"3M";-9.35%
2023-02-10;"8257";APV;"6M";-8.32%
2023-02-10;"8257";APV;"1Y";"1.75%"
2023-02-10;"8257";APV;YTD;-5.91%
2023-02-11;"8257";APV;"1M";-2.61%
2023-02-11;"8257";APV;"3M";-8.73%
2023-02-11;"8257";APV;"6M";-7.58%
2023-02-11;"8257";APV;"1Y";"1.50%"
2023-02-11;"8257";APV;YTD;-5.89%
2023-02-12;"8257";APV;"1M";-2.21%
2023-02-12;"8257";APV;"3M";-8.72%
2023-02-12;"8257";APV;"6M";-7.62%
2023-02-12;"8257";APV;"1Y";"1.51%"
2023-02-12;"8257";APV;YTD;-5.88%
2023-02-13;"8257";APV;"1M";-3.30%
2023-02-13;"8257";APV;"3M";-9.52%
2023-02-13;"8257";APV;"6M";-8.42%
2023-02-13;"8257";APV;"1Y";"0.64%"
2023-02-13;"8257";APV;YTD;-6.69%
2023-02-14;"8257";APV;"1M";-3.83%
2023-02-14;"8257";APV;"3M";-11.13%
2023-02-14;"8257";APV;"6M";-8.91%
2023-02-14;"8257";APV;"1Y";-0.63%
2023-02-14;"8257";APV;YTD;-7.18%
2023-02-15;"8257";APV;"1M";-3.45%
2023-02-15;"8257";APV;"3M";-9.81%
2023-02-15;"8257";APV;"6M";-8.54%
2023-02-15;"8257";APV;"1Y";"0.78%"
2023-02-15;"8257";APV;YTD;-6.80%
2023-02-16;"8257";APV;"1M";-2.91%
2023-02-16;"8257";APV;"3M";-10.27%
2023-02-16;"8257";APV;"6M";-8.28%
2023-02-16;"8257";APV;"1Y";"1.60%"
2023-02-16;"8257";APV;YTD;-6.59%
2023-02-17;"8257";APV;"1M";-3.09%
2023-02-17;"8257";APV;"3M";-12.96%
2023-02-17;"8257";APV;"6M";-9.90%
2023-02-17;"8257";APV;"1Y";"1.41%"
2023-02-17;"8257";APV;YTD;-6.82%
2023-02-18;"8257";APV;"1M";-2.08%
2023-02-18;"8257";APV;"3M";-13.74%
2023-02-18;"8257";APV;"6M";-12.09%
2023-02-18;"8257";APV;"1Y";"2.07%"
2023-02-18;"8257";APV;YTD;-6.81%
2023-02-19;"8257";APV;"1M";-4.00%
2023-02-19;"8257";APV;"3M";-13.74%
2023-02-19;"8257";APV;"6M";-14.61%
2023-02-19;"8257";APV;"1Y";"2.09%"
2023-02-19;"8257";APV;YTD;-6.80%
2023-02-20;"8257";APV;"1M";-3.17%
2023-02-20;"8257";APV;"3M";-13.80%
2023-02-20;"8257";APV;"6M";-14.66%
2023-02-20;"8257";APV;"1Y";"2.03%"
2023-02-20;"8257";APV;YTD;-6.85%
2023-02-21;"8257";APV;"1M";-2.43%
2023-02-21;"8257";APV;"3M";-14.76%
2023-02-21;"8257";APV;"6M";-14.01%
2023-02-21;"8257";APV;"1Y";"2.04%"
2023-02-21;"8257";APV;YTD;-6.12%
2023-02-22;"8257";APV;"1M";-2.23%
2023-02-22;"8257";APV;"3M";-13.51%
2023-02-22;"8257";APV;"6M";-13.83%
2023-02-22;"8257";APV;"1Y";"2.75%"
2023-02-22;"8257";APV;YTD;-5.92%
2023-02-23;"8257";APV;"1M";-0.96%
2023-02-23;"8257";APV;"3M";-12.13%
2023-02-23;"8257";APV;"6M";-11.72%
2023-02-23;"8257";APV;"1Y";"4.42%"
2023-02-23;"8257";APV;YTD;-5.49%
2023-02-24;"8257";APV;"1M";"2.06%"
2023-02-24;"8257";APV;"3M";-9.16%
2023-02-24;"8257";APV;"6M";-8.86%
2023-02-24;"8257";APV;"1Y";"3.82%"
2023-02-24;"8257";APV;YTD;-3.62%
2023-02-25;"8257";APV;"1M";"2.29%"
2023-02-25;"8257";APV;"3M";-9.54%
2023-02-25;"8257";APV;"6M";-8.30%
2023-02-25;"8257";APV;"1Y";"4.09%"
2023-02-25;"8257";APV;YTD;-3.61%
2023-02-26;"8257";APV;"1M";"2.43%"
2023-02-26;"8257";APV;"3M";-9.53%
2023-02-26;"8257";APV;"6M";-7.29%
2023-02-26;"8257";APV;"1Y";"4.10%"
2023-02-26;"8257";APV;YTD;-3.60%
2023-02-27;"8257";APV;"1M";"3.93%"
2023-02-27;"8257";APV;"3M";-8.14%
2023-02-27;"8257";APV;"6M";-5.86%
2023-02-27;"8257";APV;"1Y";"5.71%"
2023-02-27;"8257";APV;YTD;-2.11%
2023-02-28;"8257";APV;"1M";"3.77%"
2023-02-28;"8257";APV;"3M";-8.34%
2023-02-28;"8257";APV;"6M";-6.00%
2023-02-28;"8257";APV;"1Y";"6.52%"
2023-02-28;"8257";APV;YTD;-2.24%
2023-03-01;"8257";APV;"1M";"3.35%"
2023-03-01;"8257";APV;"3M";-6.87%
2023-03-01;"8257";APV;"6M";-7.48%
2023-03-01;"8257";APV;"1Y";"3.96%"
2023-03-01;"8257";APV;YTD;-3.96%
2023-03-02;"8257";APV;"1M";"4.62%"
2023-03-02;"8257";APV;"3M";-6.54%
2023-03-02;"8257";APV;"6M";-6.22%
2023-03-02;"8257";APV;"1Y";"3.37%"
2023-03-02;"8257";APV;YTD;-4.03%
2023-03-03;"8257";APV;"1M";"2.92%"
2023-03-03;"8257";APV;"3M";-7.19%
2023-03-03;"8257";APV;"6M";-6.87%
2023-03-03;"8257";APV;"1Y";"3.48%"
2023-03-03;"8257";APV;YTD;-4.68%
2023-03-04;"8257";APV;"1M";"2.92%"
2023-03-04;"8257";APV;"3M";-7.18%
2023-03-04;"8257";APV;"6M";-6.86%
2023-03-04;"8257";APV;"1Y";"2.73%"
2023-03-04;"8257";APV;YTD;-4.67%
2023-03-05;"8257";APV;"1M";"2.92%"
2023-03-05;"8257";APV;"3M";-7.64%
2023-03-05;"8257";APV;"6M";-4.78%
2023-03-05;"8257";APV;"1Y";"2.75%"
2023-03-05;"8257";APV;YTD;-4.66%
2023-03-06;"8257";APV;"1M";"0.15%"
2023-03-06;"8257";APV;"3M";-8.16%
2023-03-06;"8257";APV;"6M";-7.84%
2023-03-06;"8257";APV;"1Y";"2.01%"
2023-03-06;"8257";APV;YTD;-5.34%
2023-03-07;"8257";APV;"1M";"0.21%"
2023-03-07;"8257";APV;"3M";-8.07%
2023-03-07;"8257";APV;"6M";-8.16%
2023-03-07;"8257";APV;"1Y";"1.20%"
2023-03-07;"8257";APV;YTD;-5.90%
2023-03-08;"8257";APV;"1M";"1.60%"
2023-03-08;"8257";APV;"3M";-7.53%
2023-03-08;"8257";APV;"6M";-7.06%
2023-03-08;"8257";APV;"1Y";"1.38%"
2023-03-08;"8257";APV;YTD;-5.33%
2023-03-09;"8257";APV;"1M";"0.96%"
2023-03-09;"8257";APV;"3M";-5.93%
2023-03-09;"8257";APV;"6M";-7.72%
2023-03-09;"8257";APV;"1Y";"2.20%"
2023-03-09;"8257";APV;YTD;-5.55%
2023-03-10;"8257";APV;"1M";-0.07%
2023-03-10;"8257";APV;"3M";-6.36%
2023-03-10;"8257";APV;"6M";-8.13%
2023-03-10;"8257";APV;"1Y";"1.43%"
2023-03-10;"8257";APV;YTD;-5.98%
2023-03-11;"8257";APV;"1M";-0.07%
2023-03-11;"8257";APV;"3M";-6.36%
2023-03-11;"8257";APV;"6M";-8.13%
2023-03-11;"8257";APV;"1Y";"1.90%"
2023-03-11;"8257";APV;YTD;-5.96%
2023-03-12;"8257";APV;"1M";-0.07%
2023-03-12;"8257";APV;"3M";-6.20%
2023-03-12;"8257";APV;"6M";-9.51%
2023-03-12;"8257";APV;"1Y";"1.91%"
2023-03-12;"8257";APV;YTD;-5.95%
2023-03-13;"8257";APV;"1M";"1.56%"
2023-03-13;"8257";APV;"3M";-5.28%
2023-03-13;"8257";APV;"6M";-9.99%
2023-03-13;"8257";APV;"1Y";"2.68%"
2023-03-13;"8257";APV;YTD;-5.24%
2023-03-14;"8257";APV;"1M";"1.80%"
2023-03-14;"8257";APV;"3M";-6.09%
2023-03-14;"8257";APV;"6M";-10.92%
2023-03-14;"8257";APV;"1Y";"1.64%"
2023-03-14;"8257";APV;YTD;-5.51%
2023-03-15;"8257";APV;"1M";"3.52%"
2023-03-15;"8257";APV;"3M";-5.52%
2023-03-15;"8257";APV;"6M";-9.60%
2023-03-15;"8257";APV;"1Y";"2.93%"
2023-03-15;"8257";APV;YTD;-3.53%
2023-03-16;"8257";APV;"1M";"4.20%"
2023-03-16;"8257";APV;"3M";-5.80%
2023-03-16;"8257";APV;"6M";-8.79%
2023-03-16;"8257";APV;"1Y";"5.33%"
2023-03-16;"8257";APV;YTD;-2.66%
2023-03-17;"8257";APV;"1M";"5.24%"
2023-03-17;"8257";APV;"3M";-5.12%
2023-03-17;"8257";APV;"6M";-8.12%
2023-03-17;"8257";APV;"1Y";"6.84%"
2023-03-17;"8257";APV;YTD;-1.94%
2023-03-18;"8257";APV;"1M";"5.24%"
2023-03-18;"8257";APV;"3M";-5.12%
2023-03-18;"8257";APV;"6M";-8.12%
2023-03-18;"8257";APV;"1Y";"6.30%"
2023-03-18;"8257";APV;YTD;-1.93%
